papers_title
"Learning the Past Tense of English Verbs: The Symbolic Pattern
  Associator vs. Connectionist Models"
Operations for Learning with Graphical Models
Using Pivot Consistency to Decompose and Solve Functional CSPs
An Integrated Framework for Learning and Reasoning
Improving Connectionist Energy Minimization
Logarithmic-Time Updates and Queries in Probabilistic Networks
Mean Field Theory for Sigmoid Belief Networks
Active Learning with Statistical Models
Exploiting Causal Independence in Bayesian Network Inference
"SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis
  Using Artificial Neural Networks"
